300519 0000   0.000  68.433  12.971   0.000  31.376   0.000  39.222   4.212   3.504   0.000   0.000   4.180   1.052   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0001   0.000  68.433  12.980   0.000  31.867   0.000  39.222   4.212   3.504   0.000   0.000   4.232   1.052   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0002   0.000  68.433  13.026   0.000  31.730   0.000  39.222   4.215   3.504   0.000   0.000   4.197   1.047   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0003   0.000  68.433  12.906   0.000  31.294   0.000  39.222   4.212   3.504   0.000   0.000   4.207   1.047   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0004   0.000  68.433  13.012   0.000  31.349   0.000  39.222   4.212   3.504   0.000   0.000   4.220   1.043   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0005   0.000  68.433  12.878   0.000  30.872   0.000  39.222   4.210   3.504   0.000   0.000   4.192   1.043   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0006   0.000  68.433  12.896   0.000  30.640   0.000  39.222   4.212   3.504   0.000   0.000   4.192   1.038   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0007   0.000  68.433  12.961   0.000  30.504   0.000  39.222   4.210   3.504   0.000   0.000   4.190   1.038   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0008   0.000  68.433  12.859   0.000  30.313   0.000  39.222   4.212   3.504   0.000   0.000   4.212   1.034   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0009   0.000  68.433  12.808   0.000  30.204   0.000  39.222   4.210   3.504   0.000   0.000   4.182   1.034   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0010   0.000  68.433  12.859   0.000  30.013   0.000  39.222   4.212   3.504   0.000   0.000   4.227   1.034   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0011   0.000  68.433  12.938   0.000  30.286   0.000  39.222   4.210   3.504   0.000   0.000   4.178   1.029   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0012   0.000  68.433  12.841   0.000  29.904   0.000  39.222   4.212   3.504   0.000   0.000   4.235   1.029   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0013   0.000  68.433  12.845   0.000  29.877   0.000  39.222   4.210   3.504   0.000   0.000   4.178   1.029   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
300519 0014   0.000  68.433  12.929   0.000  30.190   0.000  39.222   4.210   3.504   0.000   0.000   4.237   1.025   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 100 0 021 0 0 0 000 000 000 000 
